seed,train_author,epochs_completed,loss_dataset,loss_value
4,austen,0,baum,10.842944860458374
4,austen,0,thompson,10.84738826751709
4,austen,0,dickens,10.85984272427029
4,austen,0,melville,10.852771377563476
4,austen,0,wells,10.84219455718994
4,austen,0,austen,10.841504096984863
4,austen,0,fitzgerald,10.844188849131266
4,austen,0,twain,10.827001452445984
4,austen,1,train,10.546276330947876
4,austen,1,baum,10.40604853630066
4,austen,1,thompson,10.439074039459229
4,austen,1,dickens,10.392164901450828
4,austen,1,melville,10.421534442901612
4,austen,1,wells,10.394437789916992
4,austen,1,austen,10.360299587249756
4,austen,1,fitzgerald,10.41576369603475
4,austen,1,twain,10.414309978485107
4,austen,2,train,10.195267498493196
4,austen,2,baum,10.11105179786682
4,austen,2,thompson,10.16785216331482
4,austen,2,dickens,10.087516219527632
4,austen,2,melville,10.142326736450196
4,austen,2,wells,10.09475803375244
4,austen,2,austen,10.021174112955729
4,austen,2,fitzgerald,10.118481477101644
4,austen,2,twain,10.135346472263336
4,austen,3,train,9.841855198144913
4,austen,3,baum,9.801763772964478
4,austen,3,thompson,9.888278484344482
4,austen,3,dickens,9.77903281317817
4,austen,3,melville,9.856932544708252
4,austen,3,wells,9.789968013763428
4,austen,3,austen,9.671517531077066
4,austen,3,fitzgerald,9.808185895284018
4,austen,3,twain,9.852837800979614
4,austen,4,train,9.490140110254288
4,austen,4,baum,9.505199193954468
4,austen,4,thompson,9.619368314743042
4,austen,4,dickens,9.489082830923577
4,austen,4,melville,9.583553409576416
4,austen,4,wells,9.501160383224487
4,austen,4,austen,9.33194669087728
4,austen,4,fitzgerald,9.510766665140787
4,austen,4,twain,9.586351454257963
4,austen,5,train,9.156025379896164
4,austen,5,baum,9.24011254310608
4,austen,5,thompson,9.378196001052856
4,austen,5,dickens,9.217137054160789
4,austen,5,melville,9.336806201934817
4,austen,5,wells,9.2348895072937
4,austen,5,austen,9.017935276031494
4,austen,5,fitzgerald,9.244275093078612
4,austen,5,twain,9.337851464748384
4,austen,6,train,8.850090026855469
4,austen,6,baum,8.993791103363037
4,austen,6,thompson,9.15516448020935
4,austen,6,dickens,8.962523071854203
4,austen,6,melville,9.110114669799804
4,austen,6,wells,8.98764944076538
4,austen,6,austen,8.726298332214355
4,austen,6,fitzgerald,8.996313095092773
4,austen,6,twain,9.107712030410768
4,austen,7,train,8.560911178588867
4,austen,7,baum,8.767494440078735
4,austen,7,thompson,8.952369689941406
4,austen,7,dickens,8.72984321029098
4,austen,7,melville,8.9003399848938
4,austen,7,wells,8.760476350784302
4,austen,7,austen,8.45797061920166
4,austen,7,fitzgerald,8.767396608988443
4,austen,7,twain,8.896949708461761
4,austen,8,train,8.291449695825577
4,austen,8,baum,8.561723470687866
4,austen,8,thompson,8.77000617980957
4,austen,8,dickens,8.519331260963723
4,austen,8,melville,8.712086868286132
4,austen,8,wells,8.553075313568115
4,austen,8,austen,8.210544268290201
4,austen,8,fitzgerald,8.55976676940918
4,austen,8,twain,8.706650257110596
4,austen,9,train,8.053185060620308
4,austen,9,baum,8.371919631958008
4,austen,9,thompson,8.603389978408813
4,austen,9,dickens,8.32743556411178
4,austen,9,melville,8.539311695098878
4,austen,9,wells,8.363131999969482
4,austen,9,austen,7.983205397923787
4,austen,9,fitzgerald,8.370131969451904
4,austen,9,twain,8.533658504486084
4,austen,10,train,7.824012994766235
4,austen,10,baum,8.199580907821655
4,austen,10,thompson,8.453238010406494
4,austen,10,dickens,8.154475883201316
4,austen,10,melville,8.383501434326172
4,austen,10,wells,8.189855337142944
4,austen,10,austen,7.77663532892863
4,austen,10,fitzgerald,8.19780158996582
4,austen,10,twain,8.376708686351776
4,austen,11,train,7.6222313195466995
4,austen,11,baum,8.045061469078064
4,austen,11,thompson,8.320142984390259
4,austen,11,dickens,7.999130125398989
4,austen,11,melville,8.244120788574218
4,austen,11,wells,8.035334944725037
4,austen,11,austen,7.591020425160726
