seed,train_author,epochs_completed,loss_dataset,loss_value
8,baum,0,baum,10.84181308746338
8,baum,0,thompson,10.84062147140503
8,baum,0,dickens,10.8429940894798
8,baum,0,melville,10.843302726745604
8,baum,0,wells,10.842474460601808
8,baum,0,austen,10.854506651560463
8,baum,0,fitzgerald,10.835320949554443
8,baum,0,twain,10.839705407619476
8,baum,0,non_oz_baum,10.847614765167236
8,baum,0,non_oz_thompson,10.846406936645508
8,baum,0,contested,10.84662628173828
8,baum,1,train,10.710651874542236
8,baum,1,baum,10.583540201187134
8,baum,1,thompson,10.619462966918944
8,baum,1,dickens,10.609892138728387
8,baum,1,melville,10.612038135528564
8,baum,1,wells,10.602625846862791
8,baum,1,austen,10.610714276631674
8,baum,1,fitzgerald,10.620949268341064
8,baum,1,twain,10.630048394203186
8,baum,1,non_oz_baum,10.588831424713137
8,baum,1,non_oz_thompson,10.611394882202148
8,baum,1,contested,10.587440252304075
8,baum,2,train,10.546613812446594
8,baum,2,baum,10.483399152755736
8,baum,2,thompson,10.531036138534546
8,baum,2,dickens,10.520482239899811
8,baum,2,melville,10.531233215332032
8,baum,2,wells,10.509725570678713
8,baum,2,austen,10.522908369700112
8,baum,2,fitzgerald,10.532180627187094
8,baum,2,twain,10.54216182231903
8,baum,2,non_oz_baum,10.491973876953123
8,baum,2,non_oz_thompson,10.517695426940918
8,baum,2,contested,10.492212295532228
8,baum,3,train,10.457866311073303
8,baum,3,baum,10.40512204170227
8,baum,3,thompson,10.461575031280518
8,baum,3,dickens,10.448530126501012
8,baum,3,melville,10.466280269622803
8,baum,3,wells,10.43703293800354
8,baum,3,austen,10.451783657073976
8,baum,3,fitzgerald,10.461339632670084
8,baum,3,twain,10.474701285362244
8,baum,3,non_oz_baum,10.414563179016112
8,baum,3,non_oz_thompson,10.443485736846924
8,baum,3,contested,10.417053461074827
8,baum,4,train,10.374051809310911
8,baum,4,baum,10.325135231018066
8,baum,4,thompson,10.39205527305603
8,baum,4,dickens,10.37838798099094
8,baum,4,melville,10.398357009887697
8,baum,4,wells,10.36569881439209
8,baum,4,austen,10.376729329427084
8,baum,4,fitzgerald,10.39024559656779
8,baum,4,twain,10.409417986869812
8,baum,4,non_oz_baum,10.335235118865969
8,baum,4,non_oz_thompson,10.371980667114258
8,baum,4,contested,10.339125394821169
8,baum,5,train,10.290712356567385
8,baum,5,baum,10.242040395736694
8,baum,5,thompson,10.318894624710085
8,baum,5,dickens,10.307325857656974
8,baum,5,melville,10.327989768981933
8,baum,5,wells,10.290437936782835
8,baum,5,austen,10.299627939860024
8,baum,5,fitzgerald,10.31529426574707
8,baum,5,twain,10.339994966983795
8,baum,5,non_oz_baum,10.2515549659729
8,baum,5,non_oz_thompson,10.295959949493408
8,baum,5,contested,10.257673501968384
8,baum,6,train,10.195693612098694
8,baum,6,baum,10.154496908187866
8,baum,6,thompson,10.243606090545654
8,baum,6,dickens,10.235298933806243
8,baum,6,melville,10.25550947189331
8,baum,6,wells,10.21383500099182
8,baum,6,austen,10.221343676249186
8,baum,6,fitzgerald,10.237381299336752
8,baum,6,twain,10.271541476249697
8,baum,6,non_oz_baum,10.163912773132324
8,baum,6,non_oz_thompson,10.219772815704346
8,baum,6,contested,10.1722891330719
8,baum,7,train,10.109251856803894
8,baum,7,baum,10.06493330001831
8,baum,7,thompson,10.16920804977417
8,baum,7,dickens,10.163857530664515
8,baum,7,melville,10.183486843109131
8,baum,7,wells,10.138251066207886
8,baum,7,austen,10.142674605051676
8,baum,7,fitzgerald,10.158371607462565
8,baum,7,twain,10.203380703926086
8,baum,7,non_oz_baum,10.075167417526243
8,baum,7,non_oz_thompson,10.144288063049316
8,baum,7,contested,10.08657169342041
8,baum,8,train,10.017551064491272
8,baum,8,baum,9.977245092391968
8,baum,8,thompson,10.092923879623411
8,baum,8,dickens,10.090026678862396
8,baum,8,melville,10.109514904022216
8,baum,8,wells,10.06095552444458
8,baum,8,austen,10.061981519063314
8,baum,8,fitzgerald,10.07939370473226
8,baum,8,twain,10.132942140102386
8,baum,8,non_oz_baum,9.9870765209198
8,baum,8,non_oz_thompson,10.065921783447266
8,baum,8,contested,10.00071096420288
8,baum,9,train,9.922673463821411
8,baum,9,baum,9.890323638916016
8,baum,9,thompson,10.016463994979858
8,baum,9,dickens,10.016345377321596
8,baum,9,melville,10.036009788513184
8,baum,9,wells,9.983336448669434
8,baum,9,austen,9.981242338816324
8,baum,9,fitzgerald,10.00103267033895
8,baum,9,twain,10.061931490898132
8,baum,9,non_oz_baum,9.899493217468262
8,baum,9,non_oz_thompson,9.986942768096924
8,baum,9,contested,9.915754556655884
8,baum,10,train,9.836047649383543
8,baum,10,baum,9.805190086364746
8,baum,10,thompson,9.942627668380736
8,baum,10,dickens,9.943764368693031
8,baum,10,melville,9.965126514434814
8,baum,10,wells,9.907387256622314
8,baum,10,austen,9.901737372080484
8,baum,10,fitzgerald,9.9244434038798
8,baum,10,twain,9.99196630716324
8,baum,10,non_oz_baum,9.814379930496216
8,baum,10,non_oz_thompson,9.90928554534912
8,baum,10,contested,9.833622694015505
8,baum,11,train,9.743697047233582
8,baum,11,baum,9.720765590667725
8,baum,11,thompson,9.869831562042236
8,baum,11,dickens,9.870628392254863
8,baum,11,melville,9.894341659545898
8,baum,11,wells,9.832703113555908
8,baum,11,austen,9.822537263234455
8,baum,11,fitzgerald,9.849504152933756
8,baum,11,twain,9.922851264476776
8,baum,11,non_oz_baum,9.730575561523438
8,baum,11,non_oz_thompson,9.832613945007324
8,baum,11,contested,9.752362966537476
8,baum,12,train,9.656158447265623
8,baum,12,baum,9.63798451423645
8,baum,12,thompson,9.797834873199465
8,baum,12,dickens,9.797214260807744
8,baum,12,melville,9.825296211242676
8,baum,12,wells,9.7572340965271
8,baum,12,austen,9.744410514831545
8,baum,12,fitzgerald,9.775286674499512
8,baum,12,twain,9.853331565856934
8,baum,12,non_oz_baum,9.64801287651062
8,baum,12,non_oz_thompson,9.756360054016112
8,baum,12,contested,9.672290802001951
8,baum,13,train,9.569101095199583
8,baum,13,baum,9.555099964141846
8,baum,13,thompson,9.726885795593262
8,baum,13,dickens,9.725623766581217
8,baum,13,melville,9.757008934020996
8,baum,13,wells,9.683374643325806
8,baum,13,austen,9.667319456736246
8,baum,13,fitzgerald,9.702056884765623
8,baum,13,twain,9.784828066825868
8,baum,13,non_oz_baum,9.566870212554932
8,baum,13,non_oz_thompson,9.68103313446045
8,baum,13,contested,9.593530654907228
8,baum,14,train,9.478309512138368
8,baum,14,baum,9.474024295806885
8,baum,14,thompson,9.65762424468994
8,baum,14,dickens,9.655276439808032
8,baum,14,melville,9.690136432647703
8,baum,14,wells,9.610938310623167
8,baum,14,austen,9.59105904897054
8,baum,14,fitzgerald,9.630093574523926
8,baum,14,twain,9.718109965324402
8,baum,14,non_oz_baum,9.486706256866457
8,baum,14,non_oz_thompson,9.607852458953856
8,baum,14,contested,9.51573133468628
8,baum,15,train,9.389438152313232
8,baum,15,baum,9.3933002948761
8,baum,15,thompson,9.588119268417358
8,baum,15,dickens,9.584496215537742
8,baum,15,melville,9.62277431488037
8,baum,15,wells,9.537892818450928
8,baum,15,austen,9.51488701502482
8,baum,15,fitzgerald,9.55840301513672
8,baum,15,twain,9.650772213935852
8,baum,15,non_oz_baum,9.40747094154358
8,baum,15,non_oz_thompson,9.533895492553713
8,baum,15,contested,9.438207387924194
8,baum,16,train,9.317167401313782
8,baum,16,baum,9.31408977508545
8,baum,16,thompson,9.519576072692873
8,baum,16,dickens,9.514195866054958
8,baum,16,melville,9.556810760498047
8,baum,16,wells,9.465227365493774
8,baum,16,austen,9.439892768859863
8,baum,16,fitzgerald,9.486639181772867
8,baum,16,twain,9.584130048751833
8,baum,16,non_oz_baum,9.328951835632324
8,baum,16,non_oz_thompson,9.460635662078856
8,baum,16,contested,9.361757278442385
8,baum,17,train,9.23532211780548
8,baum,17,baum,9.236119985580444
8,baum,17,thompson,9.452683210372925
8,baum,17,dickens,9.44588887249982
8,baum,17,melville,9.49245538711548
8,baum,17,wells,9.394493341445925
8,baum,17,austen,9.367364724477133
8,baum,17,fitzgerald,9.417459805806478
8,baum,17,twain,9.519604444503784
8,baum,17,non_oz_baum,9.251983404159546
8,baum,17,non_oz_thompson,9.389387130737305
8,baum,17,contested,9.287068843841553
8,baum,18,train,9.160773515701294
8,baum,18,baum,9.15938401222229
8,baum,18,thompson,9.386943340301514
8,baum,18,dickens,9.379131564387569
8,baum,18,melville,9.428808116912842
8,baum,18,wells,9.325523853302002
8,baum,18,austen,9.294947624206545
8,baum,18,fitzgerald,9.349584897359213
8,baum,18,twain,9.456191897392271
8,baum,18,non_oz_baum,9.176175594329834
8,baum,18,non_oz_thompson,9.319724082946776
8,baum,18,contested,9.213489055633543
