seed,train_author,epochs_completed,loss_dataset,loss_value
6,dickens,0,baum,10.858822107315063
6,dickens,0,thompson,10.842315912246704
6,dickens,0,dickens,10.849798917770386
6,dickens,0,melville,10.847871568467882
6,dickens,0,wells,10.851511478424072
6,dickens,0,austen,10.85358953475952
6,dickens,0,fitzgerald,10.85563325881958
6,dickens,0,twain,10.851665496826172
6,dickens,1,train,10.861647605895996
6,dickens,1,baum,10.818801403045654
6,dickens,1,thompson,10.814761877059937
6,dickens,1,dickens,10.803586891719274
6,dickens,1,melville,10.800975481669107
6,dickens,1,wells,10.81167729695638
6,dickens,1,austen,10.813446044921877
6,dickens,1,fitzgerald,10.818610191345217
6,dickens,1,twain,10.809764671325684
6,dickens,2,train,10.821287155151367
6,dickens,2,baum,10.783246278762816
6,dickens,2,thompson,10.79027247428894
6,dickens,2,dickens,10.763857466833931
6,dickens,2,melville,10.759888966878256
6,dickens,2,wells,10.776021003723145
6,dickens,2,austen,10.777682304382324
6,dickens,2,fitzgerald,10.786035299301147
6,dickens,2,twain,10.772525215148926
6,dickens,3,train,10.77228832244873
6,dickens,3,baum,10.75225281715393
6,dickens,3,thompson,10.770153522491457
6,dickens,3,dickens,10.730689491544451
6,dickens,3,melville,10.725868648952908
6,dickens,3,wells,10.745607852935793
6,dickens,3,austen,10.748599529266356
6,dickens,3,fitzgerald,10.757893562316896
6,dickens,3,twain,10.742689418792724
6,dickens,4,train,10.732444763183594
6,dickens,4,baum,10.726037740707396
6,dickens,4,thompson,10.753097772598268
6,dickens,4,dickens,10.703020470482963
6,dickens,4,melville,10.69792366027832
6,dickens,4,wells,10.719775835673014
6,dickens,4,austen,10.72379732131958
6,dickens,4,fitzgerald,10.733908653259276
6,dickens,4,twain,10.71760950088501
6,dickens,5,train,10.712003707885742
6,dickens,5,baum,10.704030275344849
6,dickens,5,thompson,10.738812446594238
6,dickens,5,dickens,10.679464646748134
6,dickens,5,melville,10.675090259975857
6,dickens,5,wells,10.697970708211264
6,dickens,5,austen,10.70361328125
6,dickens,5,fitzgerald,10.713050603866575
6,dickens,5,twain,10.696933937072751
6,dickens,6,train,10.673882484436035
6,dickens,6,baum,10.68498468399048
6,dickens,6,thompson,10.72628092765808
6,dickens,6,dickens,10.659071343285698
6,dickens,6,melville,10.655877961052788
6,dickens,6,wells,10.67910877863566
6,dickens,6,austen,10.686861991882324
6,dickens,6,fitzgerald,10.694522142410278
6,dickens,6,twain,10.679527473449706
6,dickens,7,train,10.651041984558104
6,dickens,7,baum,10.668927431106567
6,dickens,7,thompson,10.715435028076172
6,dickens,7,dickens,10.641761439187189
6,dickens,7,melville,10.640044212341309
