seed,train_author,epochs_completed,loss_dataset,loss_value
0,fitzgerald,0,baum,10.818527460098268
0,fitzgerald,0,thompson,10.82152509689331
0,fitzgerald,0,dickens,10.820019404093424
0,fitzgerald,0,melville,10.826112866401672
0,fitzgerald,0,wells,10.820290565490724
0,fitzgerald,0,austen,10.832980155944824
0,fitzgerald,0,fitzgerald,10.831403414408364
0,fitzgerald,0,twain,10.831809997558594
0,fitzgerald,1,train,10.835390090942385
0,fitzgerald,1,baum,10.774722337722778
0,fitzgerald,1,thompson,10.776885032653809
0,fitzgerald,1,dickens,10.775007724761965
0,fitzgerald,1,melville,10.785022974014282
0,fitzgerald,1,wells,10.770694414774576
0,fitzgerald,1,austen,10.793495655059814
0,fitzgerald,1,fitzgerald,10.786938349405924
0,fitzgerald,1,twain,10.786052227020264
0,fitzgerald,2,train,10.790531158447266
0,fitzgerald,2,baum,10.740875244140623
0,fitzgerald,2,thompson,10.742597579956056
0,fitzgerald,2,dickens,10.739058176676432
0,fitzgerald,2,melville,10.749826192855837
0,fitzgerald,2,wells,10.731746673583984
0,fitzgerald,2,austen,10.760652542114258
0,fitzgerald,2,fitzgerald,10.751914236280651
0,fitzgerald,2,twain,10.748872598012287
0,fitzgerald,3,train,10.761784553527832
0,fitzgerald,3,baum,10.715616941452026
0,fitzgerald,3,thompson,10.717110872268677
0,fitzgerald,3,dickens,10.711832841237388
0,fitzgerald,3,melville,10.722134590148926
0,fitzgerald,3,wells,10.703526496887209
0,fitzgerald,3,austen,10.736128807067873
0,fitzgerald,3,fitzgerald,10.725351015726725
0,fitzgerald,3,twain,10.720376968383787
0,fitzgerald,4,train,10.725825309753418
0,fitzgerald,4,baum,10.695651769638062
0,fitzgerald,4,thompson,10.696610927581789
0,fitzgerald,4,dickens,10.6903076171875
0,fitzgerald,4,melville,10.699171543121338
0,fitzgerald,4,wells,10.681362469991049
0,fitzgerald,4,austen,10.717013359069824
0,fitzgerald,4,fitzgerald,10.704215791490345
0,fitzgerald,4,twain,10.697724342346191
0,fitzgerald,5,train,10.704723358154297
0,fitzgerald,5,baum,10.67919111251831
0,fitzgerald,5,thompson,10.679448127746582
0,fitzgerald,5,dickens,10.6726283232371
0,fitzgerald,5,melville,10.68004548549652
0,fitzgerald,5,wells,10.663132349650065
0,fitzgerald,5,austen,10.701393604278564
0,fitzgerald,5,fitzgerald,10.686868031819662
0,fitzgerald,5,twain,10.678725242614746
0,fitzgerald,6,train,10.682246208190918
0,fitzgerald,6,baum,10.66493797302246
0,fitzgerald,6,thompson,10.66452431678772
0,fitzgerald,6,dickens,10.657549222310385
0,fitzgerald,6,melville,10.663504481315613
0,fitzgerald,6,wells,10.647910753885904
0,fitzgerald,6,austen,10.688544750213625
0,fitzgerald,6,fitzgerald,10.671731313069662
0,fitzgerald,6,twain,10.662233670552572
0,fitzgerald,7,train,10.667096138000488
0,fitzgerald,7,baum,10.65208101272583
0,fitzgerald,7,thompson,10.651042938232422
0,fitzgerald,7,dickens,10.644057512283323
0,fitzgerald,7,melville,10.648621201515198
0,fitzgerald,7,wells,10.634252866109213
0,fitzgerald,7,austen,10.67732048034668
0,fitzgerald,7,fitzgerald,10.658092286851671
0,fitzgerald,7,twain,10.647666136423746
0,fitzgerald,8,train,10.64997386932373
0,fitzgerald,8,baum,10.640257835388184
0,fitzgerald,8,thompson,10.63859224319458
0,fitzgerald,8,dickens,10.63173484802246
0,fitzgerald,8,melville,10.635373711586
0,fitzgerald,8,wells,10.621877988179524
0,fitzgerald,8,austen,10.666916847229004
0,fitzgerald,8,fitzgerald,10.645543310377333
0,fitzgerald,8,twain,10.634445826212565
0,fitzgerald,9,train,10.64142608642578
0,fitzgerald,9,baum,10.62924337387085
0,fitzgerald,9,thompson,10.627063512802124
0,fitzgerald,9,dickens,10.620468298594156
0,fitzgerald,9,melville,10.623327374458311
0,fitzgerald,9,wells,10.61096477508545
0,fitzgerald,9,austen,10.657589435577393
0,fitzgerald,9,fitzgerald,10.633689032660593
0,fitzgerald,9,twain,10.622216701507568
0,fitzgerald,10,train,10.619462966918944
0,fitzgerald,10,baum,10.6186203956604
0,fitzgerald,10,thompson,10.615981817245483
0,fitzgerald,10,dickens,10.609602451324465
0,fitzgerald,10,melville,10.611971020698547
