seed,train_author,epochs_completed,loss_dataset,loss_value
5,melville,0,baum,10.844696998596191
5,melville,0,thompson,10.838064193725586
5,melville,0,dickens,10.842991574605303
5,melville,0,melville,10.842632717556423
5,melville,0,wells,10.84967311223348
5,melville,0,austen,10.850854360140287
5,melville,0,fitzgerald,10.849552018301829
5,melville,0,twain,10.828452110290527
5,melville,1,train,10.617663383483888
5,melville,1,baum,10.512022972106934
5,melville,1,thompson,10.510125637054443
5,melville,1,dickens,10.49358336130778
5,melville,1,melville,10.458332273695204
5,melville,1,wells,10.509944279988607
5,melville,1,austen,10.52500871511606
5,melville,1,fitzgerald,10.532592500959124
5,melville,1,twain,10.490743446350098
5,melville,2,train,10.414376318454742
5,melville,2,baum,10.383195161819458
5,melville,2,thompson,10.385862350463867
5,melville,2,dickens,10.356629530588783
5,melville,2,melville,10.319588873121472
5,melville,2,wells,10.37478510538737
5,melville,2,austen,10.385099997887243
5,melville,2,fitzgerald,10.4050965990339
5,melville,2,twain,10.36196994781494
5,melville,3,train,10.271848857402802
5,melville,3,baum,10.249089002609251
5,melville,3,thompson,10.257047414779665
5,melville,3,dickens,10.213536548614504
5,melville,3,melville,10.178900718688965
5,melville,3,wells,10.23362668355306
5,melville,3,austen,10.237379147456242
5,melville,3,fitzgerald,10.272066388811384
5,melville,3,twain,10.232599449157714
5,melville,4,train,10.125894010066986
5,melville,4,baum,10.109577417373655
5,melville,4,thompson,10.122687339782717
5,melville,4,dickens,10.06469014485677
5,melville,4,melville,10.03349166446262
5,melville,4,wells,10.087576548258465
5,melville,4,austen,10.083826285142164
5,melville,4,fitzgerald,10.13332189832415
5,melville,4,twain,10.094775485992432
5,melville,5,train,9.976167678833008
5,melville,5,baum,9.969106912612917
5,melville,5,thompson,9.988515853881836
5,melville,5,dickens,9.914989757537844
5,melville,5,melville,9.885632514953612
5,melville,5,wells,9.940616448720297
5,melville,5,austen,9.929980131296013
5,melville,5,fitzgerald,9.994699614388605
5,melville,5,twain,9.95802879333496
5,melville,6,train,9.826759159564972
5,melville,6,baum,9.82910656929016
5,melville,6,thompson,9.854849100112917
5,melville,6,dickens,9.76579523086548
