seed,train_author,epochs_completed,loss_dataset,loss_value
9,twain,0,baum,10.84284234046936
9,twain,0,thompson,10.839515924453735
9,twain,0,dickens,10.83036864598592
9,twain,0,melville,10.83126163482666
9,twain,0,wells,10.83413906097412
9,twain,0,austen,10.835371530972994
9,twain,0,fitzgerald,10.837066888809204
9,twain,0,twain,10.839311440785728
9,twain,1,train,10.84279727935791
9,twain,1,baum,10.79608678817749
9,twain,1,thompson,10.79822850227356
9,twain,1,dickens,10.782471561431883
9,twain,1,melville,10.784358024597168
9,twain,1,wells,10.785273933410645
9,twain,1,austen,10.787904739379885
9,twain,1,fitzgerald,10.79787302017212
9,twain,1,twain,10.790018876393637
9,twain,2,train,10.797107696533203
9,twain,2,baum,10.755341529846191
9,twain,2,thompson,10.763216018676758
9,twain,2,dickens,10.742693328857422
9,twain,2,melville,10.74679183959961
9,twain,2,wells,10.74457778930664
9,twain,2,austen,10.748921834505522
9,twain,2,fitzgerald,10.762877702713013
9,twain,2,twain,10.7492569287618
9,twain,3,train,10.761096954345703
9,twain,3,baum,10.72147822380066
9,twain,3,thompson,10.733827829360962
9,twain,3,dickens,10.710319805145264
9,twain,3,melville,10.7166109085083
9,twain,3,wells,10.71164321899414
9,twain,3,austen,10.717008223900429
9,twain,3,fitzgerald,10.733357429504396
9,twain,3,twain,10.715823491414389
9,twain,4,train,10.718887329101562
9,twain,4,baum,10.693905115127563
9,twain,4,thompson,10.70984697341919
9,twain,4,dickens,10.684011999766032
9,twain,4,melville,10.691802978515623
9,twain,4,wells,10.685185623168945
9,twain,4,austen,10.691189692570614
9,twain,4,fitzgerald,10.709428548812866
9,twain,4,twain,10.68893814086914
9,twain,5,train,10.69603443145752
9,twain,5,baum,10.671303987503052
9,twain,5,thompson,10.690087795257568
9,twain,5,dickens,10.662708187103272
9,twain,5,melville,10.67152976989746
9,twain,5,wells,10.663366508483886
9,twain,5,austen,10.670193305382362
9,twain,5,fitzgerald,10.690158605575562
9,twain,5,twain,10.667145570119224
9,twain,6,train,10.682494163513184
9,twain,6,baum,10.65257716178894
9,twain,6,thompson,10.673529863357544
9,twain,6,dickens,10.645086733500165
9,twain,6,melville,10.654563903808594
9,twain,6,wells,10.644893264770507
9,twain,6,austen,10.65268560556265
9,twain,6,fitzgerald,10.674458980560305
9,twain,6,twain,10.649269104003906
9,twain,7,train,10.637088775634766
9,twain,7,baum,10.636317253112791
9,twain,7,thompson,10.6591899394989
9,twain,7,dickens,10.629485829671223
9,twain,7,melville,10.639452934265137
9,twain,7,wells,10.628960609436035
9,twain,7,austen,10.63745300586407
9,twain,7,fitzgerald,10.660738229751589
9,twain,7,twain,10.63345225652059
9,twain,8,train,10.63768196105957
9,twain,8,baum,10.621994018554688
9,twain,8,thompson,10.646503448486328
9,twain,8,dickens,10.615693219502766
9,twain,8,melville,10.626019477844238
9,twain,8,wells,10.614920806884763
9,twain,8,austen,10.623963502737192
9,twain,8,fitzgerald,10.648526668548584
9,twain,8,twain,10.619216918945312
9,twain,9,train,10.615620613098145
9,twain,9,baum,10.609349966049194
9,twain,9,thompson,10.635252237319946
9,twain,9,dickens,10.603387355804443
9,twain,9,melville,10.613661766052246
9,twain,9,wells,10.602106475830078
9,twain,9,austen,10.611908765939566
9,twain,9,fitzgerald,10.63788390159607
9,twain,9,twain,10.606585502624512
9,twain,10,train,10.595004081726074
