seed,train_author,epochs_completed,loss_dataset,loss_value
5,wells,0,baum,10.844696998596191
5,wells,0,thompson,10.838064193725586
5,wells,0,dickens,10.842991574605303
5,wells,0,melville,10.842632717556423
5,wells,0,wells,10.84967311223348
5,wells,0,austen,10.850854360140287
5,wells,0,fitzgerald,10.849552018301829
5,wells,0,twain,10.828452110290527
5,wells,1,train,10.689217948913576
5,wells,1,baum,10.566838026046751
5,wells,1,thompson,10.568362951278688
5,wells,1,dickens,10.565477879842122
5,wells,1,melville,10.535282982720268
5,wells,1,wells,10.558639844258629
5,wells,1,austen,10.585321719829851
5,wells,1,fitzgerald,10.58697291782924
5,wells,1,twain,10.548499965667723
5,wells,2,train,10.510136890411378
5,wells,2,baum,10.469878196716309
5,wells,2,thompson,10.473515510559082
5,wells,2,dickens,10.468068250020345
5,wells,2,melville,10.438068919711643
5,wells,2,wells,10.45648193359375
5,wells,2,austen,10.486578134390024
5,wells,2,fitzgerald,10.490293366568428
5,wells,2,twain,10.451801776885986
5,wells,3,train,10.410937595367432
5,wells,3,baum,10.387170791625977
5,wells,3,thompson,10.395110368728638
5,wells,3,dickens,10.38439343770345
5,wells,3,melville,10.356017218695747
5,wells,3,wells,10.368878364562988
5,wells,3,austen,10.40075001349816
5,wells,3,fitzgerald,10.409163202558243
5,wells,3,twain,10.372339630126952
5,wells,4,train,10.317072200775147
5,wells,4,baum,10.305258750915527
5,wells,4,thompson,10.315743923187256
5,wells,4,dickens,10.296113936106364
5,wells,4,melville,10.272419611612955
5,wells,4,wells,10.27815866470337
5,wells,4,austen,10.311333216153658
5,wells,4,fitzgerald,10.327755655561177
5,wells,4,twain,10.29258451461792
5,wells,5,train,10.222264099121094
5,wells,5,baum,10.21908974647522
5,wells,5,thompson,10.233364343643188
5,wells,5,dickens,10.20485070546468
5,wells,5,melville,10.188430256313747
5,wells,5,wells,10.184523741404217
5,wells,5,austen,10.217309878422665
5,wells,5,fitzgerald,10.241537639072964
5,wells,5,twain,10.210279083251953
5,wells,6,train,10.126941299438476
5,wells,6,baum,10.131158351898192
5,wells,6,thompson,10.149346828460692
5,wells,6,dickens,10.112085628509522
5,wells,6,melville,10.10244263543023
5,wells,6,wells,10.090090274810793
5,wells,6,austen,10.121976632338304
5,wells,6,fitzgerald,10.153739656720845
5,wells,6,twain,10.124783611297609
5,wells,7,train,10.025007152557372
5,wells,7,baum,10.043126583099363
5,wells,7,thompson,10.064573526382446
5,wells,7,dickens,10.018157132466634
5,wells,7,melville,10.014704704284668
5,wells,7,wells,9.993782997131348
5,wells,7,austen,10.026817028339092
5,wells,7,fitzgerald,10.065485273088727
5,wells,7,twain,10.03851776123047
5,wells,8,train,9.930417346954346
5,wells,8,baum,9.953291177749634
5,wells,8,thompson,9.979434967041016
5,wells,8,dickens,9.924043369293212
5,wells,8,melville,9.927817132737902
5,wells,8,wells,9.896765232086182
5,wells,8,austen,9.93017629476694
5,wells,8,fitzgerald,9.975676945277623
5,wells,8,twain,9.9513991355896
5,wells,9,train,9.826591396331787
5,wells,9,baum,9.862680196762083
5,wells,9,thompson,9.892862796783447
5,wells,9,dickens,9.82818021774292
5,wells,9,melville,9.83884980943468
5,wells,9,wells,9.799543221791586
5,wells,9,austen,9.833286505479078
5,wells,9,fitzgerald,9.885327475411552
5,wells,9,twain,9.86191930770874
5,wells,10,train,9.728271484375
5,wells,10,baum,9.772920608520508
5,wells,10,thompson,9.808336019515991
5,wells,10,dickens,9.733862241109213
5,wells,10,melville,9.751707818773058
5,wells,10,wells,9.70247999827067
5,wells,10,austen,9.737217609698956
5,wells,10,fitzgerald,9.796113695417132
5,wells,10,twain,9.77555170059204
5,wells,11,train,9.631460571289065
5,wells,11,baum,9.684141159057615
5,wells,11,thompson,9.723597288131714
5,wells,11,dickens,9.641315110524497
5,wells,11,melville,9.665326860215927
5,wells,11,wells,9.607011477152506
5,wells,11,austen,9.643154804523174
5,wells,11,fitzgerald,9.708165986197336
5,wells,11,twain,9.689119052886962
5,wells,12,train,9.535885334014893
5,wells,12,baum,9.596762895584106
5,wells,12,thompson,9.641292333602903
5,wells,12,dickens,9.548997084299724
5,wells,12,melville,9.580796241760254
5,wells,12,wells,9.51256815592448
5,wells,12,austen,9.5485630768996
5,wells,12,fitzgerald,9.620969636099678
5,wells,12,twain,9.60374698638916
5,wells,13,train,9.435204696655273
5,wells,13,baum,9.510463237762451
5,wells,13,thompson,9.55962347984314
5,wells,13,dickens,9.458933003743487
5,wells,13,melville,9.497246000501844
5,wells,13,wells,9.420260270436604
5,wells,13,austen,9.45630014859713
5,wells,13,fitzgerald,9.535080228533063
5,wells,13,twain,9.519832801818849
5,wells,14,train,9.345005416870118
5,wells,14,baum,9.42713737487793
5,wells,14,thompson,9.480610132217407
5,wells,14,dickens,9.371174971262612
5,wells,14,melville,9.415679507785374
5,wells,14,wells,9.329861481984455
5,wells,14,austen,9.365487318772535
5,wells,14,fitzgerald,9.451261247907366
5,wells,14,twain,9.437189388275147
5,wells,15,train,9.25108880996704
5,wells,15,baum,9.344868183135986
5,wells,15,thompson,9.402932405471802
5,wells,15,dickens,9.285251235961914
5,wells,15,melville,9.33549976348877
5,wells,15,wells,9.241108894348145
5,wells,15,austen,9.27748496715839
5,wells,15,fitzgerald,9.369742393493652
5,wells,15,twain,9.35677137374878
5,wells,16,train,9.155168342590333
5,wells,16,baum,9.264344453811646
5,wells,16,thompson,9.326689958572388
5,wells,16,dickens,9.201384989420571
5,wells,16,melville,9.25739680396186
5,wells,16,wells,9.154178937276203
5,wells,16,austen,9.192019682664135
5,wells,16,fitzgerald,9.290349415370397
5,wells,16,twain,9.278339195251466
